AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
SA006172_STR_1,-35.035617,138.809944,SA,No,B (Low),Pole Steel,35.0,Not Painted,53,10.0
SA006174_STR_1,-34.76877,138.65068,SA,No,B (Low),Pole Steel,30.0,Not Painted,34,5.0
SA006269_STR_1,-34.125271676,139.350959529,SA,No,B (Low),Pole Steel,30.0,Not Painted,47,10.0
SA006278_STR_1,-33.973860673,140.944423691,SA,No,B (Low),Pole Steel,35.0,Not Painted,67,10.0
SA007201_STR_1,-34.829051,138.674331,SA,No,B (Low),Pole Steel,30.0,Not Painted,94,7.0
SA008087_STR_1,-36.7096,140.16542,SA,No,C (Medium),Pole Concrete,40.0,Not Painted,64,9.0
TAS000880_STR_1,-40.038254,144.07076,TAS,No,E (Very High),Mast Free Standing,10.0,Not Painted,50,5.0
TAS000884_STR_1,-39.765230305,144.061897167,TAS,No,E (Very High),Tower Steel,40.0,Protection,78,5.0
TAS001915_STR_1,-43.14364,147.96225,TAS,No,E (Very High),Mast Free Standing,23.0,Environment / Aesthetic,95,4.0
TAS002166_STR_1,-39.98626,148.1896,TAS,No,E (Very High),Tower Steel,30.0,Protection,45,4.0
TAS002193_STR_1,-42.912163,147.30312,TAS,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,60,6.0
TAS002194_STR_1,-40.921745,144.71661,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,54,9.0
TAS002195_STR_1,-41.04067,144.6723,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,55,8.0
TAS002201_STR_1,-40.78324,144.90114,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,49,8.0
TAS002207_STR_1,-41.006228,147.386299,TAS,No,E (Very High),Pole Concrete,30.0,Environment / Aesthetic,70,5.0
TAS002208_STR_1,-41.14394,145.83899,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,61,8.0
TAS002209_STR_1,-41.48458,145.21527,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,80,7.0
TAS002231_STR_1,-40.923294,145.15297,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,89,9.0
TAS002232_STR_1,-41.400166,147.13014,TAS,No,B (Low),Pole Concrete,30.0,Environment / Aesthetic,92,7.0
TAS002235_STR_1,-41.16606,146.20532,TAS,No,C (Medium),Pole Concrete,30.0,Not Painted,86,7.0
TAS002237_STR_1,-41.64561843,147.96520742,TAS,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,58,7.0
TAS002243_STR_1,-42.83569,147.254314,TAS,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,83,5.0
